,Postcode,Borough,Street,Latitude,Longitude,Coordinates,Clusters
28,01-341,Bemowo,ul. Drzeworytników,52.2215,20.9038,"52.2215, 20.9038",11
29,01-385,Bemowo,ul. Drzeworytników,52.2258,20.906,"52.2258, 20.906",11
30,01-470,Bemowo,ul. Dywizjonu 303,52.2461,20.9041,"52.2461, 20.9041",11
31,01-376,Bemowo,ul. Dźwigowa,52.218,20.9148,"52.218, 20.9148",11
32,01-496,Bemowo,ul. F. Kawy,52.2625,20.9184,"52.2625, 20.9184",9
33,01-339,Bemowo,ul. Fortuny,52.2166,20.906,"52.2166, 20.906",11
34,01-347,Bemowo,ul. Gabriela,52.2209,20.9105,"52.2209, 20.9105",11
35,01-478,Bemowo,ul. gen. F. Kleeberga,52.2637,20.9042,"52.2637, 20.9042",9
36,01-315,Bemowo,ul. gen. M. C. Coopera,52.2317,20.8977,"52.2317, 20.8977",11
37,01-476,Bemowo,ul. gen. S. Kaliskiego,52.2551,20.8968,"52.2551, 20.8968",9
38,01-471,Bemowo,ul. gen. T. Pełczyńskiego,52.2422,20.9015,"52.2422, 20.9015",11
39,01-364,Bemowo,ul. Gimnazjalna,52.2316,20.9166,"52.2316, 20.9166",11
40,01-485,Bemowo,ul. Gołuchowska,52.2542,20.906999999999996,"52.2542, 20.906999999999996",9
41,01-460,Bemowo,ul. Górczewska,52.2406,20.9117,"52.2406, 20.9117",9
42,01-459,Bemowo,ul. Górczewska,52.2394,20.9129,"52.2394, 20.9129",9
43,01-488,Bemowo,ul. Grotowska,52.2653,20.8987,"52.2653, 20.8987",9
44,02-422,Bemowo,ul. J. I. Kraszewskiego,52.2108,20.8976,"52.2108, 20.8976",12
45,01-368,Bemowo,ul. J. Joyce'a,52.2317,20.9213,"52.2317, 20.9213",11
46,01-345,Bemowo,ul. J. Wybickiego,52.22,20.9063,"52.22, 20.9063",11
47,01-373,Bemowo,ul. Jana Olbrachta,52.2344,20.9197,"52.2344, 20.9197",11
48,01-317,Bemowo,ul. K. Irzykowskiego,52.231,20.9058,"52.231, 20.9058",11
49,01-313,Bemowo,ul. Karabeli,52.2298,20.9008,"52.2298, 20.9008",11
50,01-462,Bemowo,ul. Kołczana,52.244,20.9225,"52.244, 20.9225",9
51,01-321,Bemowo,ul. Kopalniana,52.2201,20.8941,"52.2201, 20.8941",11
52,01-365,Bemowo,ul. Kruszyńska,52.2318,20.9182,"52.2318, 20.9182",11
53,01-356,Bemowo,ul. Kryształowa,52.2314,20.9086,"52.2314, 20.9086",11
54,01-452,Bemowo,ul. Księcia Bolesława,52.2429,20.9409,"52.2429, 20.9409",23
55,01-934,Bemowo,ul. Księżycowa,52.2823,20.8981,"52.2823, 20.8981",18
56,01-314,Bemowo,ul. Lazurowa,52.2286,20.8962,"52.2286, 20.8962",11
57,01-479,Bemowo,ul. Lazurowa,52.2398,20.8962,"52.2398, 20.8962",11
58,01-474,Bemowo,ul. Lazurowa,52.2427,20.8973,"52.2427, 20.8973",11
59,01-343,Bemowo,ul. Legionowa,52.2186,20.9053,"52.2186, 20.9053",11
60,01-342,Bemowo,ul. Lustrzana,52.2206,20.9043,"52.2206, 20.9043",11
61,01-329,Bemowo,ul. Łęgi,52.214,20.886999999999997,"52.214, 20.886999999999997",12
62,01-492,Bemowo,ul. M. Sobczaka,52.2628,20.9022,"52.2628, 20.9022",9
63,01-469,Bemowo,ul. Marynin,52.2457,20.9241,"52.2457, 20.9241",9
64,01-352,Bemowo,ul. Miejska,52.2235,20.9084,"52.2235, 20.9084",11
65,01-390,Bemowo,ul. mjr. H. Sucharskiego,52.2271,20.910999999999998,"52.2271, 20.910999999999998",11
66,01-330,Bemowo,ul. Mory,52.2124,20.8741,"52.2124, 20.8741",12
67,01-357,Bemowo,ul. Muszlowa,52.2309,20.9108,"52.2309, 20.9108",11
68,01-328,Bemowo,ul. Na Wyraju,52.2217,20.8802,"52.2217, 20.8802",12
69,01-338,Bemowo,ul. Nowej Huty,52.2164,20.9026,"52.2164, 20.9026",11
70,01-359,Bemowo,ul. Okoliczna,52.2297,20.9124,"52.2297, 20.9124",11
71,01-309,Bemowo,ul. Okrętowa,52.2233,20.9035,"52.2233, 20.9035",11
72,01-475,Bemowo,ul. Oryszewska,52.2494,20.8779,"52.2494, 20.8779",9
73,01-351,Bemowo,ul. Owczarska,52.2236,20.9104,"52.2236, 20.9104",11
74,01-498,Bemowo,ul. P. Stellera,52.2637,20.9133,"52.2637, 20.9133",9
75,01-327,Bemowo,ul. Podgrodzie,52.2201,20.881999999999998,"52.2201, 20.881999999999998",12
76,01-378,Bemowo,ul. Połczyńska,52.2226,20.9231,"52.2226, 20.9231",11
77,01-302,Bemowo,ul. Połczyńska,52.2169,20.8958,"52.2169, 20.8958",11
78,01-303,Bemowo,ul. Połczyńska,52.2158,20.8865,"52.2158, 20.8865",12
79,01-304,Bemowo,ul. Połczyńska,52.2171,20.884,"52.2171, 20.884",12
80,01-377,Bemowo,ul. Połczyńska,52.2201,20.919,"52.2201, 20.919",11
81,01-337,Bemowo,ul. Połczyńska,52.2183,20.906999999999996,"52.2183, 20.906999999999996",11
82,01-336,Bemowo,ul. Połczyńska,52.2177,20.9077,"52.2177, 20.9077",11
83,01-301,Bemowo,ul. Połczyńska,52.2222,20.9047,"52.2222, 20.9047",11
84,01-728,Bemowo,ul. Powązkowska,52.262,20.9499,"52.262, 20.9499",19
85,01-381,Bemowo,ul. Powstańców Śląskich,52.2295,20.9163,"52.2295, 20.9163",11
86,03-381,Bemowo,ul. Powstańców Śląskich,52.2797,21.0065,"52.2797, 21.0065",29
87,01-386,Bemowo,ul. Reżyserska,52.2272,20.9073,"52.2272, 20.9073",11
88,01-388,Bemowo,ul. Rodzinna,52.2269,20.9074,"52.2269, 20.9074",11
89,01-340,Bemowo,ul. Rotundy,52.2176,20.9095,"52.2176, 20.9095",11
90,01-310,Bemowo,ul. Rozłogi,52.2243,20.9004,"52.2243, 20.9004",11
91,01-312,Bemowo,ul. Siemiatycka,52.2261,20.9034,"52.2261, 20.9034",11
92,01-353,Bemowo,ul. Słomiana,52.2241,20.9084,"52.2241, 20.9084",11
93,01-350,Bemowo,ul. Sternicza,52.2215,20.9073,"52.2215, 20.9073",11
94,01-383,Bemowo,ul. Sternicza,52.2233,20.9146,"52.2233, 20.9146",11
95,01-367,Bemowo,ul. Strąkowa,52.232,20.9188,"52.232, 20.9188",11
96,01-348,Bemowo,ul. Strzelców,52.2207,20.9112,"52.2207, 20.9112",11
97,01-382,Bemowo,ul. Szczotkarska,52.2222,20.9138,"52.2222, 20.9138",11
98,01-349,Bemowo,ul. Szczotkarska,52.223,20.9166,"52.223, 20.9166",11
99,01-320,Bemowo,ul. Szeligowska,52.2261,20.8874,"52.2261, 20.8874",11
100,01-389,Bemowo,ul. Świetlików,52.2277,20.9109,"52.2277, 20.9109",11
101,01-486,Bemowo,ul. Telefoniczna,52.2645,20.8998,"52.2645, 20.8998",9
102,01-346,Bemowo,ul. Tkaczy,52.2212,20.908,"52.2212, 20.908",11
103,01-468,Bemowo,ul. Wieśniacza,52.2456,20.9191,"52.2456, 20.9191",9
104,01-418,Bemowo,ul. Wrocławska,52.2473,20.9412,"52.2473, 20.9412",23
105,01-495,Bemowo,ul. Zachodzącego Słońca,52.2573,20.9142,"52.2573, 20.9142",9
106,03-144,Białołęka,pl. Światowida,52.3285,20.9459,"52.3285, 20.9459",15
107,03-173,Białołęka,ul. 15 Sierpnia,52.3261,20.9855,"52.3261, 20.9855",16
108,03-134,Białołęka,ul. A. Ciołkosza,52.3285,20.9465,"52.3285, 20.9465",15
109,03-176,Białołęka,ul. A. Fleminga,52.3202,20.9777,"52.3202, 20.9777",16
110,03-130,Białołęka,ul. A. Kamińskiego,52.3227,20.9603,"52.3227, 20.9603",15
111,03-193,Białołęka,ul. A. Kowalczyka,52.3064,20.9931,"52.3064, 20.9931",16
112,03-289,Białołęka,ul. A. Vivaldiego,52.33,21.0508,"52.33, 21.0508",28
113,03-149,Białołęka,ul. Aluzyjna,52.3463,20.9438,"52.3463, 20.9438",15
114,03-013,Białołęka,ul. Ambaras,52.3418,20.9995,"52.3418, 20.9995",17
115,03-106,Białołęka,ul. Anecińska,52.3289,20.9633,"52.3289, 20.9633",15
116,03-153,Białołęka,ul. Animuszu,52.3465,20.9551,"52.3465, 20.9551",15
117,03-236,Białołęka,ul. Annopol,52.3079,21.0169,"52.3079, 21.0169",29
118,03-009,Białołęka,ul. Arkony,52.3479,20.9971,"52.3479, 20.9971",17
119,03-276,Białołęka,ul. Artyleryjska,52.3006,21.0335,"52.3006, 21.0335",29
120,03-126,Białołęka,ul. Atutowa,52.3181,20.9598,"52.3181, 20.9598",15
121,03-253,Białołęka,ul. Białołęcka,52.3187,21.0311,"52.3187, 21.0311",28
122,03-251,Białołęka,ul. Białołęcka,52.2994,21.0284,"52.2994, 21.0284",29
123,03-156,Białołęka,ul. Bieszczadzka,52.3463,20.9735,"52.3463, 20.9735",17
124,03-044,Białołęka,ul. Bobrowa,52.3506,21.0332,"52.3506, 21.0332",28
125,03-279,Białołęka,ul. Bogoriów,52.3015,21.0399,"52.3015, 21.0399",29
126,03-026,Białołęka,ul. Bohaterów,52.3367,20.989,"52.3367, 20.989",17
127,03-007,Białołęka,ul. Bohaterów,52.3418,20.9947,"52.3418, 20.9947",17
128,03-257,Białołęka,ul. Bohuna,52.3151,21.0414,"52.3151, 21.0414",28
129,03-034,Białołęka,ul. Borecka,52.3279,21.0104,"52.3279, 21.0104",17
130,03-102,Białołęka,ul. Bramka,52.3299,20.9605,"52.3299, 20.9605",15
131,03-090,Białołęka,ul. Braniewska,52.358999999999995,20.9904,"52.358999999999995, 20.9904",17
132,03-046,Białołęka,ul. Bruszewska,52.3241,21.0177,"52.3241, 21.0177",28
133,03-256,Białołęka,ul. Brzeziny,52.331,21.0409,"52.331, 21.0409",28
134,03-075,Białołęka,ul. Brzezińska,52.3559,20.9769,"52.3559, 20.9769",17
135,03-082,Białołęka,ul. Brzozowy Zagajnik,52.3495,20.9823,"52.3495, 20.9823",17
136,03-135,Białołęka,ul. Ceglana,52.3353,20.9582,"52.3353, 20.9582",15
137,03-029,Białołęka,ul. Celtów,52.332,20.9918,"52.332, 20.9918",17
138,03-127,Białołęka,ul. Ch. Botewa,52.3195,20.9558,"52.3195, 20.9558",15
139,03-136,Białołęka,ul. Chęcińska,52.3342,20.9572,"52.3342, 20.9572",15
140,03-061,Białołęka,ul. Chlebowa,52.355,20.9704,"52.355, 20.9704",17
141,03-051,Białołęka,ul. Chlubna,52.3585,20.9623,"52.3585, 20.9623",17
142,03-037,Białołęka,ul. Cichy Zakątek,52.3396,21.0204,"52.3396, 21.0204",17
143,03-107,Białołęka,ul. Ciechanowska,52.3541,20.9369,"52.3541, 20.9369",15
144,03-017,Białołęka,ul. Cieślewskich,52.3321,21.0216,"52.3321, 21.0216",28
145,03-016,Białołęka,ul. Ciupagi,52.3354,21.0063,"52.3354, 21.0063",17
146,03-035,Białołęka,ul. Cudne Manowce,52.3435,21.0205,"52.3435, 21.0205",17
147,03-012,Białołęka,ul. Cytadeli,52.3429,20.998,"52.3429, 20.998",17
148,03-043,Białołęka,ul. Cytrusowa,52.3618,21.0423,"52.3618, 21.0423",28
149,03-054,Białołęka,ul. Czajki,52.361000000000004,20.9507,"52.361000000000004, 20.9507",15
150,03-110,Białołęka,ul. Czarnocińska,52.3283,20.9701,"52.3283, 20.9701",15
151,03-116,Białołęka,ul. Czarodzieja,52.3335,20.9655,"52.3335, 20.9655",15
152,03-159,Białołęka,ul. Czeremchowa,52.3425,20.961,"52.3425, 20.961",15
153,03-028,Białołęka,ul. Czołowa,52.3339,20.9908,"52.3339, 20.9908",17
154,03-230,Białołęka,ul. Daniszewska,52.3108,21.0185,"52.3108, 21.0185",29
155,03-259,Białołęka,ul. Danusi,52.3129,21.0298,"52.3129, 21.0298",28
156,03-196,Białołęka,ul. Delfina,52.2989,20.9832,"52.2989, 20.9832",16
157,03-142,Białołęka,ul. Dionizosa,52.3348,20.9525,"52.3348, 20.9525",15
158,03-255,Białołęka,ul. Dobka z Oleśnicy,52.3227,21.0442,"52.3227, 21.0442",28
159,03-108,Białołęka,ul. Dołowa,52.3271,20.9647,"52.3271, 20.9647",15
160,03-195,Białołęka,ul. Dorodna,52.3034,20.9837,"52.3034, 20.9837",16
161,03-109,Białołęka,ul. Drogowa,52.3299,20.9714,"52.3299, 20.9714",15
162,03-112,Białołęka,ul. Drożdżowa,52.3292,20.9734,"52.3292, 20.9734",15
163,03-138,Białołęka,ul. Dróżka,52.3318,20.9454,"52.3318, 20.9454",15
164,03-190,Białołęka,ul. Druciana,52.3096,20.9854,"52.3096, 20.9854",16
165,03-182,Białołęka,ul. Duninów,52.3194,20.9756,"52.3194, 20.9756",16
166,03-071,Białołęka,ul. Dwusieczna,52.353,20.9786,"52.353, 20.9786",17
167,03-011,Białołęka,ul. Dylewska,52.345,21.0089,"52.345, 21.0089",17
168,03-008,Białołęka,ul. Dynamiczna,52.3406,20.998,"52.3406, 20.998",17
169,03-147,Białołęka,ul. Dzikiej Kaczki,52.3404,20.9457,"52.3404, 20.9457",15
170,03-188,Białołęka,ul. E. Wittiga,52.3151,20.9651,"52.3151, 20.9651",15
171,03-183,Białołęka,ul. Ekspresowa,52.3139,20.98,"52.3139, 20.98",16
172,03-219,Białołęka,ul. Elektronowa,52.295,21.0033,"52.295, 21.0033",29
173,03-185,Białołęka,ul. Erazma z Zakroczymia,52.3129,20.9658,"52.3129, 20.9658",15
174,03-187,Białołęka,ul. F. Pancera,52.3197,20.9454,"52.3197, 20.9454",15
175,03-197,Białołęka,ul. Familijna,52.3056,20.980999999999998,"52.3056, 20.980999999999998",16
176,03-160,Białołęka,ul. Fletniowa,52.3425,20.9779,"52.3425, 20.9779",17
177,03-166,Białołęka,ul. Fortel,52.3282,20.9798,"52.3282, 20.9798",16
178,03-133,Białołęka,ul. gen. M. Štefánika,52.323,20.9407,"52.323, 20.9407",15
179,03-290,Białołęka,ul. Geodezyjna,52.3183,21.0738,"52.3183, 21.0738",30
180,03-113,Białołęka,ul. Gerberowa,52.3496,20.9329,"52.3496, 20.9329",15
181,03-287,Białołęka,ul. Głębocka,52.3248,21.0666,"52.3248, 21.0666",30
182,03-194,Białołęka,ul. Gołdapska,52.3006,20.9845,"52.3006, 20.9845",16
183,03-154,Białołęka,ul. Grudowska,52.3464,20.9698,"52.3464, 20.9698",17
184,03-266,Białołęka,ul. Gryfitów,52.3042,21.0349,"52.3042, 21.0349",29
185,03-141,Białołęka,ul. Grzymalitów,52.3371,20.9385,"52.3371, 20.9385",15
186,03-139,Białołęka,ul. H. Ordonówny,52.3323,20.9508,"52.3323, 20.9508",15
187,03-079,Białołęka,ul. Henrykowska,52.3559,20.9812,"52.3559, 20.9812",17
188,03-192,Białołęka,ul. Huczna,52.3074,20.9873,"52.3074, 20.9873",16
189,03-237,Białołęka,ul. Inowłodzka,52.2993,21.0182,"52.2993, 21.0182",29
190,03-004,Białołęka,ul. Insurekcji,52.3485,20.9938,"52.3485, 20.9938",17
191,03-002,Białołęka,ul. J. Kukuczki,52.3508,21.0228,"52.3508, 21.0228",28
192,03-158,Białołęka,ul. J. Mehoffera,52.343999999999994,20.9731,"52.343999999999994, 20.9731",17
193,03-081,Białołęka,ul. J. Mehoffera,52.3533,20.9895,"52.3533, 20.9895",17
194,03-131,Białołęka,ul. J. Mehoffera,52.3292,20.9541,"52.3292, 20.9541",15
195,03-118,Białołęka,ul. J. Mehoffera,52.3364,20.9636,"52.3364, 20.9636",15
196,03-117,Białołęka,ul. J. Żiżki,52.3363,20.9634,"52.3363, 20.9634",15
197,03-033,Białołęka,ul. Jeżowa,52.3257,21.0066,"52.3257, 21.0066",17
198,03-161,Białołęka,ul. K. Kiersnowskiego,52.3425,20.9768,"52.3425, 20.9768",17
199,03-181,Białołęka,ul. K. Pułaskiego,52.323,20.9815,"52.323, 20.9815",16
200,03-180,Białołęka,ul. K. Szałasa,52.3208,20.975,"52.3208, 20.975",16
201,03-125,Białołęka,ul. Kaflowa,52.3247,20.9604,"52.3247, 20.9604",15
202,03-105,Białołęka,ul. Kalendarzowa,52.3273,20.9658,"52.3273, 20.9658",15
203,03-162,Białołęka,ul. Karnicka,52.3398,20.9802,"52.3398, 20.9802",17
204,03-001,Białołęka,ul. Kazuńska,52.3431,20.9862,"52.3431, 20.9862",17
205,03-059,Białołęka,ul. Kibiców,52.3571,20.9652,"52.3571, 20.9652",17
206,03-115,Białołęka,ul. Klasyków,52.3335,20.9702,"52.3335, 20.9702",15
207,03-163,Białołęka,ul. Klasyków,52.3335,20.9824,"52.3335, 20.9824",16
208,03-050,Białołęka,ul. Kłosowa,52.3576,20.9752,"52.3576, 20.9752",17
209,03-179,Białołęka,ul. Kobierzycka,52.3218,20.98,"52.3218, 20.98",16
210,03-171,Białołęka,ul. Kołacińska,52.3231,20.9772,"52.3231, 20.9772",16
211,00-716,Białołęka,ul. Konwaliowa,52.2131,21.0639,"52.2131, 21.0639",40
212,03-274,Białołęka,ul. Kopijników,52.3033,21.0419,"52.3033, 21.0419",29
213,03-114,Białołęka,ul. Krokwi,52.3313,20.975,"52.3313, 20.975",15
214,03-272,Białołęka,ul. Kuszników,52.3032,21.037,"52.3032, 21.037",29
215,03-030,Białołęka,ul. Lemiesz,52.3293,20.995,"52.3293, 20.995",17
216,03-299,Białołęka,ul. Lewandów,52.3227,21.0744,"52.3227, 21.0744",30
217,03-085,Białołęka,ul. Lidzbarska,52.3553,20.9872,"52.3553, 20.9872",17
218,03-055,Białołęka,ul. Lubczyka,52.3538,20.9675,"52.3538, 20.9675",17
219,03-063,Białołęka,ul. Ławnicza,52.356,20.9707,"52.356, 20.9707",17
220,03-089,Białołęka,ul. Łazanowicka,52.3588,20.9898,"52.3588, 20.9898",17
221,03-233,Białołęka,ul. M. Faradaya,52.3073,21.0151,"52.3073, 21.0151",29
222,03-178,Białołęka,ul. M. Kątskiego,52.3202,20.9847,"52.3202, 20.9847",16
223,03-146,Białołęka,ul. M. Trąby,52.3438,20.9411,"52.3438, 20.9411",15
224,03-020,Białołęka,ul. Majorki,52.3372,20.9984,"52.3372, 20.9984",17
225,03-174,Białołęka,ul. Marcelińska,52.3156,20.9888,"52.3156, 20.9888",16
226,03-145,Białołęka,ul. Marcina z Wrocimowic,52.3432,20.9381,"52.3432, 20.9381",15
227,03-053,Białołęka,ul. Marmurowa,52.3633,20.9476,"52.3633, 20.9476",15
228,03-228,Białołęka,ul. Marywilska,52.3051,21.0101,"52.3051, 21.0101",29
229,03-042,Białołęka,ul. Marywilska,52.3189,20.9997,"52.3189, 20.9997",16
230,03-015,Białołęka,ul. Mazurska,52.3393,21.0002,"52.3393, 21.0002",17
231,03-041,Białołęka,ul. Miętowa,52.3164,20.9986,"52.3164, 20.9986",16
232,03-260,Białołęka,ul. Mikołaja z Długolasu,52.318000000000005,21.0255,"52.318000000000005, 21.0255",28
233,03-216,Białołęka,ul. Modlińska,52.2935,21.0005,"52.2935, 21.0005",29
234,03-186,Białołęka,ul. Modlińska,52.3155,20.9747,"52.3155, 20.9747",16
235,03-170,Białołęka,ul. Modlińska,52.3169,20.976,"52.3169, 20.976",16
236,03-199,Białołęka,ul. Modlińska,52.3078,20.9819,"52.3078, 20.9819",16
237,03-119,Białołęka,ul. Modlińska,52.32899999999999,20.9675,"52.32899999999999, 20.9675",15
238,03-122,Białołęka,ul. Modlińska,52.3225,20.9698,"52.3225, 20.9698",16
239,03-120,Białołęka,ul. Modlińska,52.3288,20.9662,"52.3288, 20.9662",15
240,03-152,Białołęka,ul. Modlińska,52.3455,20.9522,"52.3455, 20.9522",15
241,03-151,Białołęka,ul. Modlińska,52.3449,20.9498,"52.3449, 20.9498",15
242,03-198,Białołęka,ul. Modlińska,52.3051,20.9947,"52.3051, 20.9947",16
243,03-019,Białołęka,ul. Morwowa,52.3306,21.0025,"52.3306, 21.0025",17
244,03-092,Białołęka,ul. Na Przełaj,52.3586,20.9857,"52.3586, 20.9857",17
245,03-137,Białołęka,ul. Oczary,52.3315,20.9492,"52.3315, 20.9492",15
246,03-140,Białołęka,ul. Odkryta,52.333,20.9365,"52.333, 20.9365",15
247,03-231,Białołęka,ul. Odlewnicza,52.3047,21.0138,"52.3047, 21.0138",29
248,03-264,Białołęka,ul. Ojca Aniceta,52.3055,21.0381,"52.3055, 21.0381",29
249,03-104,Białołęka,ul. Okienko,52.3314,20.9628,"52.3314, 20.9628",15
250,03-036,Białołęka,ul. Operowa,52.3327,21.0011,"52.3327, 21.0011",17
251,03-018,Białołęka,ul. Ornecka,52.3436,21.013,"52.3436, 21.013",17
252,03-143,Białołęka,ul. Osuchowska,52.3327,20.9566,"52.3327, 20.9566",15
253,03-262,Białołęka,ul. P. Włodkowica,52.308,21.035,"52.308, 21.035",29
254,03-155,Białołęka,ul. Parcelacyjna,52.3475,20.9739,"52.3475, 20.9739",17
255,03-238,Białołęka,ul. Pisankowa,52.2973,21.019000000000002,"52.2973, 21.019000000000002",29
256,03-074,Białołęka,ul. Piwoniowa,52.3553,20.9749,"52.3553, 20.9749",17
257,03-191,Białołęka,ul. Płochocińska,52.3119,20.9906,"52.3119, 20.9906",16
258,03-184,Białołęka,ul. Płużnicka,52.3122,20.9747,"52.3122, 20.9747",16
259,03-157,Białołęka,ul. Podgórna,52.3422,20.9756,"52.3422, 20.9756",17
260,03-111,Białołęka,ul. Podróżnicza,52.3285,20.9759,"52.3285, 20.9759",15
261,03-165,Białołęka,ul. Podróżnicza,52.3297,20.9795,"52.3297, 20.9795",16
262,03-003,Białołęka,ul. Polnych Kwiatów,52.3421,20.9843,"52.3421, 20.9843",17
263,03-069,Białołęka,ul. Polnych Kwiatów,52.3493,20.9801,"52.3493, 20.9801",17
264,03-101,Białołęka,ul. Pomorska,52.3291,20.9613,"52.3291, 20.9613",15
265,03-103,Białołęka,ul. Przemian,52.3305,20.961,"52.3305, 20.961",15
266,03-022,Białołęka,ul. Przeździecka,52.3386,20.9913,"52.3386, 20.9913",17
267,03-083,Białołęka,ul. Przytulna,52.3559,20.9843,"52.3559, 20.9843",17
268,03-021,Białołęka,ul. Sadkowska,52.3383,20.9959,"52.3383, 20.9959",17
269,03-168,Białołęka,ul. Sąsiedzka,52.3236,20.9756,"52.3236, 20.9756",16
270,03-025,Białołęka,ul. Sianokosów,52.338,20.985,"52.338, 20.985",17
271,03-032,Białołęka,ul. Smugowa,52.3252,21.0057,"52.3252, 21.0057",17
272,03-167,Białołęka,ul. Szałwiowa,52.325,20.9839,"52.325, 20.9839",16
273,03-077,Białołęka,ul. Szamotulska,52.3549,20.9803,"52.3549, 20.9803",17
274,03-164,Białołęka,ul. Szynowa,52.3308,20.9861,"52.3308, 20.9861",16
275,03-088,Białołęka,ul. Ślepa,52.3583,20.9911,"52.3583, 20.9911",17
276,03-128,Białołęka,ul. Świderska,52.3181,20.9467,"52.3181, 20.9467",15
277,03-265,Białołęka,ul. Toporczyków,52.3047,21.0339,"52.3047, 21.0339",29
278,03-226,Białołęka,ul. Toruńska,52.298,21.0312,"52.298, 21.0312",29
279,03-093,Białołęka,ul. Wadowicka,52.358999999999995,20.9825,"52.358999999999995, 20.9825",17
280,03-024,Białołęka,ul. Wałuszewska,52.3377,20.9859,"52.3377, 20.9859",17
281,03-005,Białołęka,ul. Wałuszewska,52.3404,20.9885,"52.3404, 20.9885",17
282,03-064,Białołęka,ul. Wąska,52.3557,20.9707,"52.3557, 20.9707",17
283,03-244,Białołęka,ul. Wenecka,52.2977,21.0197,"52.2977, 21.0197",29
284,03-172,Białołęka,ul. Weteranów,52.3226,20.9831,"52.3226, 20.9831",16
285,03-087,Białołęka,ul. Widna,52.357,20.9886,"52.357, 20.9886",17
286,03-062,Białołęka,ul. Wieliszewska,52.356,20.9696,"52.356, 20.9696",17
287,03-031,Białołęka,ul. Wyspiarska,52.3181,20.9968,"52.3181, 20.9968",16
288,03-076,Białołęka,ul. Zagrodecka,52.3569,20.9785,"52.3569, 20.9785",17
289,03-068,Białołęka,ul. Zawiślańska,52.3538,20.9735,"52.3538, 20.9735",17
290,01-783,Bielany,al. Armii Krajowej,52.2787,20.9753,"52.2787, 20.9753",21
291,01-695,Bielany,al. Słowiańska,52.2767,20.9658,"52.2767, 20.9658",19
292,01-840,Bielany,al. W. Reymonta,52.2767,20.9371,"52.2767, 20.9371",20
293,01-842,Bielany,al. W. Reymonta,52.2771,20.9384,"52.2771, 20.9384",20
294,01-829,Bielany,al. Zjednoczenia,52.2799,20.9488,"52.2799, 20.9488",20
295,01-838,Bielany,al. Zjednoczenia,52.283,20.9526,"52.283, 20.9526",19
296,01-830,Bielany,al. Zjednoczenia,52.2801,20.9499,"52.2801, 20.9499",20
297,01-801,Bielany,al. Zjednoczenia,52.2825,20.9531,"52.2825, 20.9531",19
298,01-834,Bielany,pl. Konfederacji,52.28,20.9469,"52.28, 20.9469",20
299,01-685,Bielany,ul. A. Bohdziewicza,52.2814,20.969,"52.2814, 20.969",19
